,age,california_region,total_rooms,total_bedrooms,population,households,median_house_value
75,de_0_ate_18,sul,2652.0,606.0,1767.0,536.0,84300.0
76,ate_29,sul,2164.0,480.0,1164.0,421.0,107200.0
77,ate_29,sul,1672.0,416.0,1335.0,397.0,59400.0
78,ate_29,sul,1311.0,375.0,1193.0,351.0,63900.0
79,de_0_ate_18,sul,1171.0,328.0,1024.0,298.0,69400.0
80,ate_29,sul,2372.0,835.0,2283.0,767.0,62500.0
81,ate_29,sul,1178.0,438.0,1377.0,429.0,58300.0
82,acima_37,sul,2511.0,490.0,1583.0,469.0,70800.0
83,ate_37,sul,1185.0,202.0,615.0,191.0,86200.0
84,ate_37,sul,1568.0,283.0,848.0,245.0,76200.0
85,de_0_ate_18,sul,1278.0,217.0,653.0,185.0,140300.0
86,ate_37,sul,1365.0,269.0,825.0,250.0,62300.0
87,de_0_ate_18,sul,1039.0,256.0,728.0,246.0,63500.0
88,ate_37,sul,1207.0,301.0,804.0,288.0,61100.0
89,ate_37,sul,1494.0,289.0,959.0,284.0,67500.0
90,de_0_ate_18,sul,2276.0,594.0,1184.0,513.0,93800.0
91,ate_37,sul,1152.0,208.0,621.0,208.0,73600.0
92,ate_29,sul,1534.0,235.0,871.0,222.0,97200.0
93,de_0_ate_18,sul,1413.0,279.0,803.0,277.0,87500.0
94,ate_29,sul,1161.0,282.0,724.0,186.0,71700.0
95,de_0_ate_18,sul,805.0,143.0,458.0,143.0,96300.0
96,de_0_ate_18,sul,1088.0,203.0,533.0,201.0,87500.0
97,de_0_ate_18,sul,1687.0,507.0,762.0,451.0,64400.0
98,de_0_ate_18,sul,2494.0,414.0,1416.0,421.0,110100.0
99,ate_29,sul,1608.0,274.0,862.0,248.0,90800.0
100,de_0_ate_18,sul,2183.0,307.0,1000.0,287.0,159900.0
101,ate_37,sul,935.0,177.0,649.0,148.0,94400.0
102,acima_37,sul,709.0,187.0,390.0,142.0,72500.0
103,de_0_ate_18,sul,1629.0,317.0,1005.0,312.0,83200.0
104,ate_29,sul,1121.0,244.0,766.0,230.0,62000.0
105,de_0_ate_18,sul,1009.0,231.0,745.0,217.0,61200.0
106,ate_29,sul,1228.0,235.0,569.0,235.0,125000.0
107,ate_29,sul,1564.0,340.0,1161.0,343.0,55200.0
108,de_0_ate_18,sul,348.0,99.0,123.0,54.0,87500.0
109,ate_29,sul,749.0,238.0,476.0,169.0,50000.0
110,ate_29,sul,1586.0,448.0,338.0,182.0,30000.0
111,ate_29,sul,452.0,103.0,258.0,61.0,87500.0
112,acima_37,sul,472.0,81.0,206.0,57.0,93800.0
113,de_0_ate_18,sul,96.0,18.0,30.0,16.0,47500.0
114,ate_29,sul,1660.0,379.0,637.0,250.0,68900.0
115,ate_37,sul,3868.0,1257.0,890.0,423.0,41000.0
116,de_0_ate_18,sul,208.0,49.0,51.0,20.0,32500.0
117,ate_29,sul,1210.0,248.0,329.0,155.0,62800.0
118,de_0_ate_18,sul,459.0,95.0,160.0,73.0,67500.0
119,ate_29,sul,1321.0,272.0,754.0,226.0,67500.0
120,de_0_ate_18,sul,186.0,43.0,41.0,21.0,58800.0
121,de_0_ate_18,sul,99.0,25.0,37.0,17.0,53800.0
122,ate_29,sul,322.0,81.0,112.0,57.0,54400.0
123,de_0_ate_18,sul,240.0,46.0,63.0,24.0,53800.0
124,de_0_ate_18,sul,1945.0,536.0,515.0,273.0,54300.0
125,de_0_ate_18,sul,245.0,57.0,81.0,33.0,51300.0
126,ate_29,sul,1134.0,280.0,329.0,158.0,43900.0
127,ate_29,sul,2985.0,958.0,4042.0,905.0,66400.0
128,ate_29,sul,1996.0,515.0,659.0,295.0,62800.0
129,de_0_ate_18,sul,569.0,97.0,312.0,96.0,94500.0
130,ate_29,sul,301.0,65.0,150.0,56.0,65600.0
131,de_0_ate_18,sul,290.0,94.0,135.0,57.0,81300.0
132,ate_37,sul,1202.0,290.0,383.0,156.0,66900.0
133,de_0_ate_18,sul,10377.0,2331.0,4507.0,1807.0,66800.0
134,de_0_ate_18,sul,381.0,89.0,182.0,75.0,76100.0
135,de_0_ate_18,sul,9444.0,1997.0,4166.0,1482.0,65600.0
136,ate_29,sul,1273.0,354.0,1548.0,355.0,84700.0
137,de_0_ate_18,sul,2421.0,820.0,2971.0,685.0,100000.0
138,ate_37,sul,3298.0,1228.0,763.0,360.0,47800.0
139,ate_29,sul,3312.0,705.0,1251.0,512.0,82600.0
140,ate_29,sul,197.0,54.0,331.0,70.0,112500.0
141,de_0_ate_18,sul,1711.0,499.0,1896.0,443.0,65400.0
142,de_0_ate_18,sul,1230.0,277.0,1334.0,260.0,61400.0
143,ate_29,sul,3585.0,800.0,3873.0,788.0,65900.0
144,ate_29,sul,639.0,203.0,664.0,153.0,47500.0
145,de_0_ate_18,sul,1713.0,512.0,1978.0,442.0,58600.0
146,de_0_ate_18,sul,89.0,19.0,79.0,21.0,155000.0
147,ate_29,sul,2888.0,654.0,2940.0,660.0,66700.0
148,de_0_ate_18,sul,1859.0,476.0,1994.0,477.0,67500.0
149,ate_29,sul,2399.0,625.0,2654.0,535.0,60600.0
150,ate_29,sul,1152.0,273.0,1077.0,235.0,96300.0
151,ate_29,sul,1608.0,409.0,567.0,254.0,61800.0
152,ate_29,sul,894.0,192.0,830.0,202.0,68200.0
153,ate_29,sul,2488.0,714.0,2891.0,676.0,68900.0
154,ate_29,sul,3114.0,787.0,3157.0,772.0,82200.0
155,ate_37,sul,584.0,176.0,625.0,166.0,100000.0
156,ate_29,sul,1596.0,295.0,1201.0,282.0,100900.0
157,de_0_ate_18,sul,1372.0,386.0,436.0,213.0,32900.0
158,ate_29,sul,1175.0,468.0,355.0,151.0,42500.0
159,ate_29,sul,4120.0,858.0,2918.0,815.0,69400.0
160,acima_37,sul,1695.0,352.0,1279.0,305.0,68500.0
161,ate_29,sul,826.0,258.0,979.0,245.0,58800.0
162,de_0_ate_18,sul,3861.0,849.0,825.0,401.0,124700.0
163,ate_37,sul,1133.0,221.0,918.0,239.0,72100.0
164,ate_37,sul,4981.0,1326.0,3779.0,1186.0,76900.0
165,de_0_ate_18,sul,4874.0,1349.0,5032.0,1243.0,90000.0
166,de_0_ate_18,sul,2774.0,566.0,1530.0,505.0,104100.0
167,ate_29,sul,5236.0,1039.0,2725.0,935.0,93400.0
168,de_0_ate_18,sul,9033.0,2224.0,5525.0,1845.0,95000.0
169,ate_29,sul,880.0,187.0,507.0,169.0,67500.0
170,ate_37,sul,278.0,91.0,375.0,81.0,50000.0
171,de_0_ate_18,sul,1664.0,444.0,907.0,374.0,92900.0
172,de_0_ate_18,sul,7437.0,1222.0,574.0,302.0,382400.0
173,de_0_ate_18,sul,934.0,284.0,452.0,184.0,83700.0
174,acima_37,sul,452.0,109.0,184.0,59.0,65800.0
175,de_0_ate_18,sul,12991.0,2555.0,4571.0,1926.0,199300.0
176,de_0_ate_18,sul,3584.0,760.0,1097.0,470.0,167400.0
177,de_0_ate_18,sul,2387.0,481.0,863.0,304.0,137500.0
178,ate_29,sul,2352.0,556.0,1217.0,481.0,55400.0
179,de_0_ate_18,sul,2214.0,410.0,1152.0,350.0,93400.0
180,de_0_ate_18,sul,4686.0,851.0,2466.0,731.0,91800.0
181,de_0_ate_18,sul,4497.0,831.0,2248.0,713.0,98000.0
182,ate_29,sul,1880.0,487.0,994.0,425.0,54200.0
183,de_0_ate_18,sul,4256.0,861.0,1403.0,686.0,81000.0
184,ate_29,sul,1791.0,367.0,327.0,185.0,100000.0
185,de_0_ate_18,sul,1808.0,411.0,735.0,320.0,57400.0
186,de_0_ate_18,sul,19107.0,3923.0,2880.0,1376.0,158500.0
187,de_0_ate_18,sul,12327.0,2000.0,2450.0,1139.0,353100.0
188,ate_29,sul,2746.0,514.0,731.0,295.0,176400.0
189,de_0_ate_18,sul,1969.0,406.0,805.0,349.0,62300.0
190,de_0_ate_18,sul,2595.0,606.0,1046.0,367.0,110700.0
191,de_0_ate_18,sul,12557.0,3098.0,2453.0,1232.0,78500.0
192,de_0_ate_18,sul,8626.0,1859.0,3497.0,1337.0,121300.0
193,de_0_ate_18,sul,8806.0,1542.0,858.0,448.0,318100.0
194,de_0_ate_18,sul,4890.0,1152.0,1289.0,570.0,98700.0
195,de_0_ate_18,sul,4985.0,1238.0,2517.0,954.0,65000.0
196,de_0_ate_18,sul,2104.0,348.0,841.0,320.0,116300.0
197,de_0_ate_18,sul,17579.0,3479.0,3581.0,1820.0,194500.0
198,de_0_ate_18,sul,11836.0,2405.0,3811.0,1570.0,134500.0
199,de_0_ate_18,sul,12509.0,2460.0,2737.0,1423.0,258100.0
200,de_0_ate_18,sul,5583.0,1149.0,2709.0,964.0,73300.0
201,de_0_ate_18,sul,11115.0,2257.0,4122.0,1653.0,74400.0
202,ate_29,sul,7646.0,1618.0,2496.0,1075.0,128000.0
203,de_0_ate_18,sul,11659.0,2007.0,2186.0,1083.0,238800.0
204,de_0_ate_18,sul,5648.0,1089.0,2524.0,1008.0,78000.0
205,de_0_ate_18,sul,4855.0,872.0,2098.0,765.0,97800.0
206,de_0_ate_18,sul,3059.0,500.0,612.0,208.0,259200.0
207,ate_29,sul,2475.0,476.0,910.0,387.0,168800.0
208,de_0_ate_18,sul,4289.0,893.0,958.0,440.0,177800.0
209,de_0_ate_18,sul,7095.0,1260.0,1179.0,570.0,285000.0
210,de_0_ate_18,sul,16921.0,2837.0,2524.0,1262.0,341700.0
211,de_0_ate_18,sul,3895.0,782.0,900.0,529.0,138300.0
212,ate_29,sul,186.0,48.0,102.0,39.0,103100.0
213,de_0_ate_18,sul,6683.0,1296.0,2677.0,1227.0,84000.0
214,de_0_ate_18,sul,6710.0,1343.0,2069.0,781.0,115100.0
215,ate_29,sul,2596.0,438.0,473.0,237.0,500001.0
216,ate_29,sul,1867.0,361.0,758.0,321.0,98100.0
217,ate_29,sul,5584.0,1303.0,2250.0,1158.0,72400.0
218,de_0_ate_18,sul,5293.0,1266.0,1201.0,599.0,88400.0
219,ate_29,sul,4872.0,1110.0,955.0,656.0,97500.0
220,de_0_ate_18,sul,846.0,249.0,117.0,67.0,403300.0
221,de_0_ate_18,sul,5534.0,1206.0,2283.0,1008.0,99100.0
222,de_0_ate_18,sul,5228.0,992.0,1177.0,639.0,134600.0
223,ate_29,sul,2680.0,643.0,1644.0,516.0,127100.0
224,de_0_ate_18,sul,4863.0,920.0,3010.0,828.0,104200.0
225,ate_37,sul,2565.0,745.0,2301.0,638.0,83000.0
226,ate_29,sul,5473.0,1234.0,2581.0,1098.0,65300.0
227,ate_29,sul,2233.0,471.0,919.0,388.0,85200.0
228,de_0_ate_18,sul,9169.0,1512.0,3838.0,1270.0,142500.0
229,de_0_ate_18,sul,10105.0,2481.0,6274.0,2095.0,90900.0
230,ate_29,sul,1781.0,441.0,759.0,340.0,113600.0
231,de_0_ate_18,sul,3254.0,913.0,923.0,486.0,81000.0
232,de_0_ate_18,sul,9425.0,2020.0,1711.0,1000.0,145200.0
233,de_0_ate_18,sul,1294.0,272.0,457.0,199.0,115300.0
234,ate_29,sul,3316.0,636.0,2362.0,532.0,65900.0
235,de_0_ate_18,sul,8789.0,1875.0,1274.0,688.0,148900.0
236,de_0_ate_18,sul,4332.0,868.0,1420.0,567.0,146400.0
237,de_0_ate_18,sul,7249.0,1882.0,4274.0,1621.0,66600.0
238,de_0_ate_18,sul,343.0,85.0,29.0,14.0,87500.0
239,ate_29,sul,5032.0,1229.0,3086.0,1183.0,94800.0
240,ate_29,sul,4810.0,1074.0,1304.0,740.0,248100.0
241,de_0_ate_18,sul,3149.0,713.0,1281.0,486.0,64700.0
242,ate_29,sul,8502.0,2634.0,2330.0,991.0,51300.0
243,de_0_ate_18,sul,4913.0,1395.0,2518.0,1132.0,61100.0
244,de_0_ate_18,sul,3369.0,780.0,1315.0,584.0,66000.0
245,ate_29,sul,1284.0,306.0,537.0,233.0,61000.0
246,de_0_ate_18,sul,3921.0,754.0,1902.0,665.0,89600.0
247,de_0_ate_18,sul,7559.0,1444.0,3189.0,1105.0,112500.0
248,de_0_ate_18,sul,4465.0,859.0,853.0,445.0,130400.0
249,ate_29,sul,10227.0,2315.0,3623.0,1734.0,145200.0
250,ate_29,sul,4454.0,852.0,1754.0,656.0,189900.0
251,ate_29,sul,2990.0,648.0,1280.0,532.0,68200.0
252,de_0_ate_18,sul,4423.0,763.0,1906.0,667.0,125200.0
253,de_0_ate_18,sul,10077.0,2186.0,3048.0,1337.0,110900.0
254,ate_29,sul,8399.0,1839.0,3470.0,1340.0,159000.0
255,ate_29,sul,2547.0,463.0,411.0,214.0,220500.0
256,ate_37,sul,6814.0,1714.0,2628.0,1341.0,124100.0
257,ate_29,sul,6087.0,1217.0,1721.0,833.0,199400.0
258,ate_29,sul,6050.0,1387.0,1432.0,890.0,183900.0
259,ate_29,sul,9374.0,1780.0,1678.0,919.0,235600.0
260,ate_29,sul,2992.0,562.0,676.0,346.0,500001.0
261,de_0_ate_18,sul,6928.0,1529.0,2568.0,1075.0,69600.0
262,ate_37,sul,1765.0,399.0,451.0,264.0,321900.0
263,de_0_ate_18,sul,1985.0,361.0,536.0,209.0,148200.0
264,de_0_ate_18,sul,9975.0,1743.0,6835.0,1439.0,22500.0
265,ate_29,sul,260.0,67.0,69.0,50.0,76600.0
266,ate_37,sul,551.0,166.0,224.0,107.0,50000.0
267,ate_29,sul,7962.0,1652.0,2009.0,921.0,230200.0
268,de_0_ate_18,sul,489.0,82.0,183.0,74.0,345500.0
269,ate_29,sul,4085.0,876.0,2133.0,718.0,116500.0
270,de_0_ate_18,sul,3730.0,827.0,1346.0,592.0,113500.0
271,ate_29,sul,1731.0,365.0,612.0,258.0,172900.0
272,de_0_ate_18,sul,2522.0,538.0,616.0,269.0,198100.0
273,de_0_ate_18,sul,6438.0,1719.0,1586.0,691.0,67400.0
274,ate_29,sul,4115.0,847.0,2032.0,745.0,169100.0
275,de_0_ate_18,sul,843.0,157.0,918.0,152.0,240600.0
276,de_0_ate_18,sul,349.0,74.0,120.0,43.0,193800.0
277,ate_29,sul,3460.0,711.0,658.0,255.0,161100.0
278,ate_29,sul,1820.0,374.0,1001.0,324.0,156300.0
279,de_0_ate_18,sul,549.0,109.0,209.0,90.0,66300.0
280,de_0_ate_18,sul,4527.0,875.0,1640.0,590.0,81700.0
281,de_0_ate_18,sul,3166.0,682.0,1250.0,475.0,122900.0
282,de_0_ate_18,sul,2385.0,661.0,682.0,242.0,214300.0
283,de_0_ate_18,sul,4190.0,946.0,1802.0,673.0,158200.0
284,de_0_ate_18,sul,5277.0,1070.0,657.0,276.0,143400.0
285,de_0_ate_18,sul,4863.0,845.0,2266.0,769.0,217400.0
286,de_0_ate_18,sul,3348.0,481.0,1222.0,443.0,308600.0
287,de_0_ate_18,sul,3959.0,849.0,1064.0,376.0,111400.0
288,de_0_ate_18,sul,42.0,10.0,9.0,3.0,42500.0
289,de_0_ate_18,sul,1251.0,268.0,544.0,216.0,173400.0
290,de_0_ate_18,sul,3311.0,702.0,1627.0,624.0,187200.0
291,de_0_ate_18,sul,4085.0,751.0,2129.0,688.0,214500.0
292,ate_29,sul,2307.0,525.0,1266.0,437.0,63000.0
293,de_0_ate_18,sul,12480.0,1946.0,5102.0,1697.0,221000.0
294,de_0_ate_18,sul,319.0,68.0,212.0,67.0,90000.0
295,de_0_ate_18,sul,4281.0,786.0,1891.0,721.0,231800.0
296,ate_29,sul,2652.0,520.0,1421.0,491.0,206100.0
297,ate_37,sul,324.0,63.0,158.0,39.0,100000.0
298,de_0_ate_18,sul,3874.0,565.0,1672.0,546.0,274600.0
299,de_0_ate_18,sul,5799.0,1527.0,713.0,262.0,84700.0
300,de_0_ate_18,sul,8948.0,1985.0,1316.0,514.0,90800.0
301,de_0_ate_18,sul,3123.0,495.0,1513.0,480.0,167800.0
302,de_0_ate_18,sul,5673.0,855.0,2592.0,797.0,199200.0
303,ate_29,sul,1066.0,219.0,536.0,173.0,119300.0
304,de_0_ate_18,sul,2502.0,532.0,1211.0,494.0,202100.0
305,ate_29,sul,3606.0,792.0,1683.0,608.0,57400.0
306,de_0_ate_18,sul,5806.0,1030.0,569.0,219.0,163100.0
307,de_0_ate_18,sul,4234.0,770.0,2191.0,725.0,197600.0
308,de_0_ate_18,sul,4760.0,938.0,309.0,132.0,147800.0
309,de_0_ate_18,sul,658.0,131.0,376.0,120.0,58000.0
310,ate_29,sul,521.0,118.0,174.0,74.0,91100.0
311,de_0_ate_18,sul,2604.0,443.0,978.0,417.0,170700.0
312,de_0_ate_18,sul,9044.0,1689.0,5030.0,1596.0,164500.0
313,de_0_ate_18,sul,401.0,68.0,251.0,69.0,170200.0
314,de_0_ate_18,sul,5799.0,921.0,2630.0,843.0,285400.0
315,ate_29,sul,1747.0,291.0,848.0,290.0,187200.0
316,ate_37,sul,4448.0,906.0,2736.0,843.0,73400.0
317,ate_37,sul,3141.0,812.0,2589.0,721.0,54600.0
318,de_0_ate_18,sul,4116.0,761.0,1714.0,717.0,130800.0
319,de_0_ate_18,sul,1153.0,265.0,446.0,195.0,128100.0
320,de_0_ate_18,sul,2053.0,321.0,993.0,309.0,248900.0
321,de_0_ate_18,sul,3268.0,491.0,1431.0,503.0,259900.0
322,de_0_ate_18,sul,1089.0,198.0,230.0,90.0,176000.0
323,de_0_ate_18,sul,4137.0,796.0,573.0,218.0,226500.0
324,acima_37,sul,898.0,259.0,106.0,52.0,225000.0
325,acima_37,sul,3419.0,777.0,710.0,265.0,128600.0
326,acima_37,sul,1495.0,429.0,865.0,342.0,55000.0
327,ate_29,sul,3111.0,623.0,1000.0,508.0,140000.0
328,de_0_ate_18,sul,7217.0,1583.0,4197.0,1502.0,166700.0
329,de_0_ate_18,sul,3204.0,541.0,1818.0,529.0,171500.0
330,de_0_ate_18,sul,3049.0,471.0,1527.0,515.0,196600.0
331,ate_37,sul,4549.0,916.0,2494.0,912.0,72600.0
332,de_0_ate_18,sul,2653.0,621.0,1967.0,598.0,81000.0
333,de_0_ate_18,sul,6900.0,1238.0,1950.0,980.0,146300.0
334,ate_29,sul,2719.0,538.0,930.0,485.0,81700.0
335,de_0_ate_18,sul,1016.0,219.0,443.0,169.0,137500.0
336,de_0_ate_18,sul,2816.0,501.0,1448.0,452.0,210900.0
337,de_0_ate_18,sul,1743.0,333.0,652.0,322.0,158300.0
338,de_0_ate_18,sul,3560.0,593.0,1757.0,574.0,185300.0
339,de_0_ate_18,sul,2652.0,393.0,1355.0,362.0,293100.0
340,de_0_ate_18,sul,337.0,102.0,108.0,50.0,55000.0
341,ate_29,sul,3481.0,840.0,1694.0,587.0,77700.0
342,de_0_ate_18,sul,3018.0,523.0,556.0,244.0,189700.0
343,ate_37,sul,3915.0,672.0,1820.0,643.0,98600.0
344,ate_37,sul,3183.0,738.0,1820.0,647.0,71800.0
345,de_0_ate_18,sul,2281.0,426.0,894.0,430.0,127900.0
346,de_0_ate_18,sul,652.0,149.0,248.0,97.0,93800.0
347,de_0_ate_18,sul,4132.0,773.0,2012.0,703.0,234500.0
348,de_0_ate_18,sul,3213.0,634.0,1975.0,579.0,167200.0
349,ate_29,sul,3090.0,552.0,1621.0,520.0,189200.0
350,ate_29,sul,4215.0,810.0,2104.0,773.0,146900.0
351,ate_29,sul,3612.0,737.0,1864.0,713.0,153800.0
352,ate_29,sul,3770.0,491.0,1410.0,446.0,294700.0
353,de_0_ate_18,sul,3600.0,492.0,1421.0,482.0,307100.0
354,ate_29,sul,553.0,100.0,215.0,82.0,193800.0
355,de_0_ate_18,sul,10886.0,2127.0,4266.0,1955.0,123400.0
356,ate_29,sul,6807.0,1164.0,2703.0,1055.0,189700.0
357,de_0_ate_18,sul,3048.0,597.0,1690.0,576.0,147100.0
358,de_0_ate_18,sul,3153.0,628.0,1633.0,527.0,131000.0
359,de_0_ate_18,sul,3699.0,838.0,2310.0,759.0,139500.0
360,ate_29,sul,4152.0,703.0,2255.0,697.0,159500.0
361,de_0_ate_18,sul,5203.0,898.0,2515.0,862.0,174400.0
362,de_0_ate_18,sul,1978.0,424.0,1085.0,387.0,170100.0
363,ate_29,sul,4331.0,637.0,1952.0,654.0,232000.0
364,ate_37,sul,1943.0,287.0,1081.0,292.0,208800.0
365,de_0_ate_18,sul,4058.0,511.0,1580.0,473.0,316400.0
366,de_0_ate_18,sul,4630.0,624.0,2048.0,575.0,300300.0
367,ate_29,sul,397.0,89.0,239.0,80.0,143800.0
368,ate_29,sul,1378.0,269.0,767.0,266.0,145000.0
369,de_0_ate_18,sul,4675.0,834.0,2188.0,817.0,178000.0
370,ate_37,sul,1765.0,284.0,772.0,282.0,165300.0
371,de_0_ate_18,sul,2492.0,494.0,1278.0,439.0,155700.0
372,de_0_ate_18,sul,2784.0,468.0,1458.0,465.0,184600.0
373,ate_37,sul,1518.0,268.0,857.0,272.0,160400.0
374,ate_29,sul,4192.0,752.0,2101.0,710.0,159100.0
375,de_0_ate_18,sul,1859.0,307.0,947.0,304.0,181300.0
376,de_0_ate_18,sul,7804.0,1594.0,3297.0,1469.0,95600.0
377,de_0_ate_18,sul,6027.0,1148.0,3136.0,1036.0,121500.0
378,de_0_ate_18,sul,3757.0,666.0,1693.0,654.0,112800.0
379,de_0_ate_18,sul,3490.0,545.0,1628.0,535.0,239900.0
380,de_0_ate_18,sul,3722.0,670.0,1561.0,604.0,211900.0
381,de_0_ate_18,sul,4116.0,990.0,2770.0,905.0,150000.0
382,de_0_ate_18,sul,3273.0,895.0,1872.0,842.0,119000.0
383,ate_29,sul,1283.0,278.0,684.0,289.0,163500.0
384,ate_29,sul,4129.0,714.0,1820.0,718.0,171000.0
385,ate_29,sul,2447.0,466.0,1573.0,472.0,125400.0
386,ate_29,sul,5759.0,1258.0,3108.0,1202.0,140600.0
387,ate_29,sul,3354.0,699.0,1948.0,682.0,142300.0
388,ate_29,sul,6541.0,1401.0,2631.0,980.0,78500.0
389,ate_29,sul,12342.0,2630.0,1300.0,566.0,153500.0
390,de_0_ate_18,sul,7240.0,1410.0,2708.0,1240.0,137600.0
391,ate_29,sul,2901.0,445.0,1414.0,475.0,118900.0
392,de_0_ate_18,sul,5160.0,851.0,2344.0,781.0,120000.0
393,ate_29,sul,2541.0,381.0,1078.0,372.0,227800.0
394,ate_29,sul,2824.0,441.0,1480.0,471.0,177200.0
395,ate_37,sul,1607.0,253.0,778.0,262.0,166300.0
396,acima_37,sul,1701.0,317.0,872.0,304.0,147800.0
397,ate_37,sul,1737.0,285.0,826.0,294.0,159200.0
398,ate_29,sul,3042.0,729.0,1964.0,703.0,137500.0
399,ate_29,sul,7906.0,2292.0,4868.0,2117.0,109800.0
400,de_0_ate_18,sul,13559.0,2656.0,6990.0,2533.0,193200.0
